CategoryKey,SizeCategory,OrdersCount,TotalSales,AvgShippingCost,LastUpdated
computers_accessories,Large,1460,306049.88999999984,27.25920547945207,2025-03-21T13:51:03.143Z
pet_shop,Large,1182,143441.18000000034,23.040059221658208,2025-03-21T13:51:03.143Z
fashion_sport,Medium,26,1622.9099999999999,15.23230769230769,2025-03-21T13:51:03.143Z
construction_tools_construction,Small,28,1483.51,13.916785714285714,2025-03-21T13:51:03.143Z
home_appliances_2,Medium,19,1860.9699999999998,18.644736842105264,2025-03-21T13:51:03.143Z
luggage_accessories,Small,5,422.6,20.928,2025-03-21T13:51:03.143Z
costruction_tools_tools,Medium,72,5112.11,17.47263888888889,2025-03-21T13:51:03.143Z
stationery,Small,74,3778.2200000000003,12.616216216216213,2025-03-21T13:51:03.143Z
fashion_childrens_clothes,Medium,4,169.87,11.8675,2025-03-21T13:51:03.143Z
garden_tools,Large,3450,389641.5399999997,24.12075942028978,2025-03-21T13:51:03.143Z
flowers,Medium,23,540.24,15.814347826086957,2025-03-21T13:51:03.143Z
consoles_games,Medium,746,87870.8200000002,16.401058981233223,2025-03-21T13:51:03.143Z
musical_instruments,Large,393,135008.64000000007,33.68111959287532,2025-03-21T13:51:03.143Z
health_beauty,Medium,6986,750716.7299999928,16.99842112797017,2025-03-21T13:51:03.143Z
construction_tools_lights,Large,137,26753.929999999997,34.60912408759124,2025-03-21T13:51:03.143Z
housewares,Large,4557,519950.8699999963,24.171709457976714,2025-03-21T13:51:03.143Z
art,Large,137,19676.809999999998,21.0429197080292,2025-03-21T13:51:03.143Z
cool_stuff,Small,40,4344.73,18.46475,2025-03-21T13:51:03.143Z
cool_stuff,Large,2656,508877.8100000022,24.56560993975903,2025-03-21T13:51:03.143Z
food,Medium,445,22768.989999999983,13.499078651685394,2025-03-21T13:51:03.143Z
fashion_underwear_beach,Large,15,1198.5,14.254,2025-03-21T13:51:03.143Z
construction_tools_safety,Small,3,197.75,17.836666666666666,2025-03-21T13:51:03.143Z
fashion_childrens_clothes,Large,4,399.98,12.010000000000002,2025-03-21T13:51:03.143Z
bed_bath_table,Small,212,8634.84000000001,13.336273584905662,2025-03-21T13:51:03.143Z
watches_gifts,Large,227,36257.92999999998,19.562863436123354,2025-03-21T13:51:03.143Z
office_furniture,Medium,16,695.8,16.31,2025-03-21T13:51:03.143Z
books_technical,Medium,191,14840.919999999998,16.00675392670157,2025-03-21T13:51:03.143Z
fashion_sport,Large,4,496.6,45.5225,2025-03-21T13:51:03.143Z
construction_tools_lights,Medium,167,14326.069999999994,17.020059880239522,2025-03-21T13:51:03.143Z
books_technical,Small,50,1481.56,15.621999999999998,2025-03-21T13:51:03.143Z
toys,Small,24,1013.43,13.951666666666666,2025-03-21T13:51:03.143Z
construction_tools_safety,Large,72,21340.459999999995,21.188472222222224,2025-03-21T13:51:03.143Z
fashion_bags_accessories,Small,735,35664.279999999984,13.603346938775498,2025-03-21T13:51:03.143Z
kitchen_dining_laundry_garden_furniture,Large,248,42278.27999999999,44.944516129032266,2025-03-21T13:51:03.143Z
telephony,Large,167,27919.739999999994,21.389461077844313,2025-03-21T13:51:03.143Z
home_confort,Medium,15,855.3299999999999,12.461333333333334,2025-03-21T13:51:03.143Z
home_appliances_2,Large,219,111456.76999999999,46.78506849315069,2025-03-21T13:51:03.143Z
security_and_services,Medium,1,100.0,15.45,2025-03-21T13:51:03.143Z
small_appliances_home_oven_and_coffee,Medium,18,859.29,14.927222222222222,2025-03-21T13:51:03.143Z
audio,Medium,263,43939.29999999997,16.20885931558935,2025-03-21T13:51:03.143Z
dvds_blu_ray,Medium,13,1452.6399999999999,20.950000000000003,2025-03-21T13:51:03.143Z
diapers_and_hygiene,Large,15,699.89,16.483999999999998,2025-03-21T13:51:03.143Z
party_supplies,Small,1,19.99,7.78,2025-03-21T13:51:03.143Z
cool_stuff,Medium,1100,122068.31000000035,16.412954545454546,2025-03-21T13:51:03.143Z
sports_leisure,Large,4201,631400.7799999954,23.044137110211864,2025-03-21T13:51:03.143Z
agro_industry_and_commerce,Large,127,62151.22999999998,33.97228346456693,2025-03-21T13:51:03.143Z
toys,Medium,1385,96755.43000000023,15.206657039711198,2025-03-21T13:51:03.143Z
uncategorized,Medium,878,82172.9200000001,15.045854214123,2025-03-21T13:51:03.143Z
fashion_male_clothing,Small,20,558.0,12.472499999999998,2025-03-21T13:51:03.143Z
baby,Medium,1194,80240.86000000007,15.542437185929654,2025-03-21T13:51:03.143Z
fashion_shoes,Medium,84,3434.2799999999993,15.360119047619047,2025-03-21T13:51:03.143Z
housewares,Medium,2282,107602.54000000046,14.925525854513598,2025-03-21T13:51:03.143Z
perfumery,Medium,2757,341413.3599999996,15.455183170112441,2025-03-21T13:51:03.143Z
luggage_accessories,Medium,136,7016.620000000001,14.372279411764708,2025-03-21T13:51:03.143Z
fashion_bags_accessories,Medium,1097,95848.84000000026,15.957639015496818,2025-03-21T13:51:03.143Z
watches_gifts,Medium,4037,1057644.2199999979,17.74389645776569,2025-03-21T13:51:03.143Z
christmas_supplies,Large,81,6859.2400000000025,25.973950617283954,2025-03-21T13:51:03.143Z
food_drink,Small,7,97.39999999999999,16.584285714285716,2025-03-21T13:51:03.143Z
construction_tools_construction,Medium,533,66773.48000000003,16.598836772983102,2025-03-21T13:51:03.143Z
baby,Small,18,820.1899999999999,14.342222222222224,2025-03-21T13:51:03.143Z
perfumery,Small,243,5954.690000000001,12.787489711934157,2025-03-21T13:51:03.143Z
musical_instruments,Medium,262,54570.28999999998,19.190725190839697,2025-03-21T13:51:03.143Z
home_construction,Medium,252,23375.40999999998,17.637261904761907,2025-03-21T13:51:03.143Z
small_appliances_home_oven_and_coffee,Large,57,45945.43,42.92438596491228,2025-03-21T13:51:03.143Z
fixed_telephony,Large,45,17653.41,22.865555555555556,2025-03-21T13:51:03.143Z
party_supplies,Medium,21,1597.0900000000004,18.13047619047619,2025-03-21T13:51:03.143Z
fashion_male_clothing,Medium,43,3547.3300000000004,18.017674418604653,2025-03-21T13:51:03.143Z
fashio_female_clothing,Large,7,622.5,14.200000000000001,2025-03-21T13:51:03.143Z
furniture_mattress_and_upholstery,Large,38,4368.08,42.90684210526316,2025-03-21T13:51:03.143Z
small_appliances,Medium,204,13538.349999999999,15.28338235294118,2025-03-21T13:51:03.143Z
garden_tools,Medium,804,92872.6600000001,17.938258706467664,2025-03-21T13:51:03.143Z
signaling_and_security,Medium,92,8321.61,17.937391304347827,2025-03-21T13:51:03.143Z
health_beauty,Small,507,43122.70999999992,13.673214990138066,2025-03-21T13:51:03.143Z
auto,Medium,1882,151971.30000000054,16.24769925611052,2025-03-21T13:51:03.143Z
computers,Medium,3,3624.49,17.143333333333334,2025-03-21T13:51:03.143Z
industry_commerce_and_business,Medium,20,3564.4400000000005,20.945999999999998,2025-03-21T13:51:03.143Z
food_drink,Medium,198,8079.2,15.93176767676768,2025-03-21T13:51:03.143Z
dvds_blu_ray,Small,48,1007.7499999999998,20.040208333333332,2025-03-21T13:51:03.143Z
home_construction,Large,351,59691.80999999998,26.708945868945875,2025-03-21T13:51:03.143Z
costruction_tools_garden,Medium,100,4049.75,16.2916,2025-03-21T13:51:03.143Z
electronics,Small,81,3671.5600000000004,14.950864197530864,2025-03-21T13:51:03.143Z
signaling_and_security,Large,107,13187.619999999999,45.39794392523365,2025-03-21T13:51:03.143Z
drinks,Large,196,11139.819999999998,16.786581632653068,2025-03-21T13:51:03.143Z
audio,Small,78,3846.87,13.019487179487177,2025-03-21T13:51:03.143Z
costruction_tools_garden,Small,14,353.72,14.989999999999998,2025-03-21T13:51:03.143Z
tablets_printing_image,Medium,80,7092.440000000002,14.509625000000003,2025-03-21T13:51:03.143Z
computers_accessories,Medium,6027,580025.4599999933,16.97282395885181,2025-03-21T13:51:03.143Z
uncategorized,Small,209,19769.200000000008,12.687799043062203,2025-03-21T13:51:03.143Z
food_drink,Large,73,7002.879999999999,16.950821917808216,2025-03-21T13:51:03.143Z
home_confort,Large,416,57693.009999999966,19.92442307692307,2025-03-21T13:51:03.143Z
small_appliances,Small,1,360.0,13.13,2025-03-21T13:51:03.143Z
construction_tools_construction,Large,368,76420.60000000002,31.015108695652167,2025-03-21T13:51:03.143Z
agro_industry_and_commerce,Small,14,344.5,19.869285714285713,2025-03-21T13:51:03.143Z
dvds_blu_ray,Large,3,3539.0,18.153333333333332,2025-03-21T13:51:03.143Z
fixed_telephony,Small,61,1802.8700000000001,15.381147540983607,2025-03-21T13:51:03.143Z
drinks,Medium,183,11288.879999999997,13.393879781420765,2025-03-21T13:51:03.143Z
diapers_and_hygiene,Medium,24,867.7,13.600833333333334,2025-03-21T13:51:03.143Z
costruction_tools_garden,Large,124,21312.42,28.003064516129026,2025-03-21T13:51:03.143Z
cine_photo,Medium,37,2361.62,13.038918918918917,2025-03-21T13:51:03.143Z
watches_gifts,Small,1727,111103.53000000003,14.165055008685586,2025-03-21T13:51:03.143Z
fashio_female_clothing,Small,11,453.9,13.788181818181819,2025-03-21T13:51:03.143Z
telephony,Medium,2111,205792.42000000004,15.842955945049761,2025-03-21T13:51:03.143Z
furniture_decor,Medium,2305,139209.18000000098,15.796199566160547,2025-03-21T13:51:03.143Z
flowers,Large,10,569.8,12.514,2025-03-21T13:51:03.143Z
furniture_bedroom,Large,99,19616.589999999997,45.47343434343434,2025-03-21T13:51:03.143Z
fashion_bags_accessories,Large,199,21310.419999999995,19.829195979899495,2025-03-21T13:51:03.143Z
electronics,Medium,2398,103212.33000000048,15.761563803169324,2025-03-21T13:51:03.143Z
perfumery,Large,419,51756.81999999995,20.278138424821005,2025-03-21T13:51:03.143Z
industry_commerce_and_business,Large,248,36105.16999999999,30.103870967741933,2025-03-21T13:51:03.143Z
books_technical,Large,26,2773.58,17.10269230769231,2025-03-21T13:51:03.143Z
fashion_shoes,Large,178,20128.489999999998,20.38550561797753,2025-03-21T13:51:03.143Z
market_place,Medium,189,10577.039999999997,14.832010582010582,2025-03-21T13:51:03.143Z
art,Medium,67,4273.929999999999,16.23701492537313,2025-03-21T13:51:03.143Z
uncategorized,Large,523,82544.64,23.906099426386238,2025-03-21T13:51:03.143Z
home_appliances,Large,273,48649.53999999997,25.429706959706955,2025-03-21T13:51:03.143Z
furniture_living_room,Medium,36,1315.18,17.264722222222225,2025-03-21T13:51:03.143Z
auto,Large,2068,417671.8500000002,27.77469052224369,2025-03-21T13:51:03.143Z
books_general_interest,Small,48,2639.8399999999997,16.520208333333333,2025-03-21T13:51:03.143Z
stationery,Large,1703,170473.57000000047,20.242519083969466,2025-03-21T13:51:03.143Z
consoles_games,Large,268,61171.13999999999,20.339328358208952,2025-03-21T13:51:03.143Z
furniture_living_room,Large,467,67601.37999999998,37.14483940042827,2025-03-21T13:51:03.143Z
air_conditioning,Large,196,45555.79999999999,25.551836734693882,2025-03-21T13:51:03.143Z
construction_tools_safety,Medium,119,19006.309999999998,19.66403361344538,2025-03-21T13:51:03.143Z
arts_and_craftmanship,Large,8,967.25,22.49,2025-03-21T13:51:03.143Z
cine_photo,Small,8,417.6,15.742500000000001,2025-03-21T13:51:03.143Z
office_furniture,Large,1675,273264.90000000043,40.78268059701492,2025-03-21T13:51:03.143Z
sports_leisure,Small,178,8662.190000000002,15.462471910112358,2025-03-21T13:51:03.143Z
computers_accessories,Small,340,25878.96999999999,15.365970588235292,2025-03-21T13:51:03.143Z
furniture_decor,Small,146,3679.5199999999995,14.138219178082194,2025-03-21T13:51:03.143Z
costruction_tools_tools,Large,28,10701.59,25.891428571428573,2025-03-21T13:51:03.143Z
baby,Large,1852,328769.8400000001,26.733412526997864,2025-03-21T13:51:03.143Z
sports_leisure,Medium,4262,347985.99999999895,16.200556076959163,2025-03-21T13:51:03.143Z
books_general_interest,Medium,404,27616.789999999975,15.406113861386137,2025-03-21T13:51:03.143Z
computers,Large,200,219338.63999999996,48.924350000000004,2025-03-21T13:51:03.143Z
fashion_underwear_beach,Small,14,394.79999999999995,13.737142857142857,2025-03-21T13:51:03.143Z
books_imported,Medium,60,4639.85,12.830833333333333,2025-03-21T13:51:03.143Z
market_place,Large,110,16365.13,22.269727272727273,2025-03-21T13:51:03.143Z
fashion_male_clothing,Large,69,6692.490000000002,16.35072463768116,2025-03-21T13:51:03.143Z
books_general_interest,Large,101,16600.25,21.56910891089109,2025-03-21T13:51:03.143Z
uncategorized,Unknown,17,563.0,14.602352941176472,2025-03-21T13:51:03.143Z
pet_shop,Medium,735,69020.42999999998,15.784489795918361,2025-03-21T13:51:03.143Z
music,Large,9,2943.8700000000003,25.18444444444445,2025-03-21T13:51:03.143Z
home_comfort_2,Large,30,760.2699999999999,13.677,2025-03-21T13:51:03.143Z
la_cuisine,Large,13,2030.99,24.826153846153847,2025-03-21T13:51:03.143Z
fashio_female_clothing,Medium,30,1727.2399999999998,12.355999999999998,2025-03-21T13:51:03.143Z
bed_bath_table,Medium,4164,248974.12000000113,16.043376560999064,2025-03-21T13:51:03.143Z
musical_instruments,Small,25,1919.9499999999998,14.953599999999996,2025-03-21T13:51:03.143Z
furniture_decor,Large,5883,586873.7899999943,22.82421893591702,2025-03-21T13:51:03.143Z
air_conditioning,Medium,98,8985.880000000001,17.176938775510198,2025-03-21T13:51:03.143Z
music,Medium,22,2843.79,17.074090909090906,2025-03-21T13:51:03.143Z
fashion_underwear_beach,Medium,102,7948.250000000003,14.804509803921572,2025-03-21T13:51:03.143Z
party_supplies,Large,21,2868.1000000000004,20.926190476190474,2025-03-21T13:51:03.143Z
christmas_supplies,Medium,71,1929.0599999999997,15.670704225352114,2025-03-21T13:51:03.143Z
auto,Small,285,23076.959999999992,16.308701754385968,2025-03-21T13:51:03.143Z
kitchen_dining_laundry_garden_furniture,Small,8,2545.4,31.37625,2025-03-21T13:51:03.143Z
pet_shop,Small,30,1853.7999999999997,24.20966666666667,2025-03-21T13:51:03.143Z
bed_bath_table,Large,6739,779379.7199999848,20.041716871939496,2025-03-21T13:51:03.143Z
telephony,Small,2267,89955.37000000085,15.085694750771992,2025-03-21T13:51:03.143Z
audio,Large,23,2902.33,18.782173913043476,2025-03-21T13:51:03.143Z
cine_photo,Large,27,4154.240000000001,23.993333333333332,2025-03-21T13:51:03.143Z
small_appliances,Large,474,176750.2300000001,27.192637130801685,2025-03-21T13:51:03.143Z
toys,Large,2708,386177.7399999992,20.690505908419496,2025-03-21T13:51:03.143Z
kitchen_dining_laundry_garden_furniture,Medium,25,1504.69,24.0872,2025-03-21T13:51:03.143Z
home_appliances,Medium,488,31229.48999999998,15.87967213114754,2025-03-21T13:51:03.143Z
furniture_bedroom,Medium,2,338.99,27.4,2025-03-21T13:51:03.143Z
food,Large,64,6594.42,19.61984375,2025-03-21T13:51:03.143Z
garden_tools,Small,93,2742.26,14.234086021505373,2025-03-21T13:51:03.143Z
health_beauty,Large,2177,464841.90000000055,26.129278824069836,2025-03-21T13:51:03.143Z
luggage_accessories,Large,951,132990.76000000042,29.848538380651938,2025-03-21T13:51:03.143Z
agro_industry_and_commerce,Medium,71,10034.739999999998,17.619014084507047,2025-03-21T13:51:03.143Z
market_place,Small,12,1436.2999999999997,16.92833333333333,2025-03-21T13:51:03.143Z
arts_and_craftmanship,Medium,15,830.27,12.187999999999999,2025-03-21T13:51:03.143Z
consoles_games,Small,123,8423.259999999998,17.413739837398374,2025-03-21T13:51:03.143Z
cds_dvds_musicals,Large,14,730.0,16.07071428571428,2025-03-21T13:51:03.143Z
fixed_telephony,Medium,158,40126.719999999994,16.902594936708862,2025-03-21T13:51:03.143Z
stationery,Medium,740,56691.43999999995,15.394418918918918,2025-03-21T13:51:03.143Z
housewares,Small,125,4695.249999999999,15.50864,2025-03-21T13:51:03.143Z
electronics,Large,288,53362.85,26.288437499999997,2025-03-21T13:51:03.143Z
home_appliances,Small,10,292.5,12.731,2025-03-21T13:51:03.143Z
music,Small,7,246.69,12.602857142857145,2025-03-21T13:51:03.143Z
art,Small,5,251.9,14.882,2025-03-21T13:51:03.143Z
costruction_tools_tools,Small,3,90.25,15.743333333333332,2025-03-21T13:51:03.143Z
furniture_bedroom,Small,8,73.2,9.445,2025-03-21T13:51:03.143Z
home_confort,Small,3,23.700000000000003,8.583333333333334,2025-03-21T13:51:03.143Z
air_conditioning,Small,3,483.28,19.243333333333336,2025-03-21T13:51:03.143Z
baby,Unknown,1,1934.0,27.0,2025-03-21T13:51:03.143Z
arts_and_craftmanship,Small,1,16.49,7.39,2025-03-21T13:51:03.143Z
la_cuisine,Medium,1,24.0,10.81,2025-03-21T13:51:03.143Z
home_construction,Small,1,20.9,12.81,2025-03-21T13:51:03.143Z
tablets_printing_image,Large,3,435.97,21.810000000000002,2025-03-21T13:51:03.143Z
security_and_services,Large,1,183.29,25.77,2025-03-21T13:51:03.143Z
food,Small,1,30.0,8.27,2025-03-21T13:51:03.143Z
small_appliances_home_oven_and_coffee,Small,1,640.99,32.48,2025-03-21T13:51:03.143Z
christmas_supplies,Small,1,12.52,12.79,2025-03-21T13:51:03.143Z
